"Performance",,,,,,,,,,,,,,,
"Performance - shows regression in Julia's performance from version 0.8.5+ to version 0.9.0",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"This data generated 30-September-2021 08:35:08",,,,,,,"C:\Projects\VBA-CSV\julia\juliaparsetimes(CSV_version_main_as_of_29-Aug-2021).csv","C:\Projects\VBA-CSV\julia\juliaparsetimes_CSV_version_0.9.0.csv",,,,,,"Chart_1_Time_v_Rows.jpg",
20,"""xxxxxxxx
yyyyyyyy""",2,1,2.84435758577509E-04,1.94026181609129E-04,3.59513105688674E-03,2.5379422364347E-04,6.64805212072863E-04,17579,25770,1391,19701,7521,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Quoted_Strings_with-LF_length_20_0002_x_001_Ascii.csv",52
20,"""xxxxxxxx
yyyyyyyy""",4,1,2.76091662073567E-04,2.08075165409567E-04,3.39789728256975E-03,2.52729478366357E-04,5.9206631142688E-04,18110,24031,1472,19784,8445,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Quoted_Strings_with-LF_length_20_0004_x_001_Ascii.csv",104
20,"""xxxxxxxx
yyyyyyyy""",8,1,2.90984153869285E-04,2.64906600978846E-04,3.82919295546192E-03,2.6289228447252E-04,6.0790273556231E-04,17184,18876,1306,19023,8225,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Quoted_Strings_with-LF_length_20_0008_x_001_Ascii.csv",208
20,"""xxxxxxxx
yyyyyyyy""",16,1,3.36588791642715E-04,2.97953038964877E-04,3.84241105994344E-03,2.63726989820138E-04,7.27629845412593E-04,14855,16782,1302,18959,6873,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Quoted_Strings_with-LF_length_20_0016_x_001_Ascii.csv",416
20,"""xxxxxxxx
yyyyyyyy""",32,1,4.26106016192479E-04,3.76002631969733E-04,4.83599429404295E-03,2.86286859433152E-04,8.2047915982934E-04,11735,13298,1034,17465,6094,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Quoted_Strings_with-LF_length_20_0032_x_001_Ascii.csv",832
20,"""xxxxxxxx
yyyyyyyy""",64,1,5.97282381752987E-04,7.35901339209863E-04,8.9037996440052E-03,2.81040975774268E-04,6.23177590771256E-04,8372,6795,562,17791,8025,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Quoted_Strings_with-LF_length_20_0064_x_001_Ascii.csv",1664
20,"""xxxxxxxx
yyyyyyyy""",128,1,1.00625998789628E-03,9.66938947972391E-04,9.65289884151596E-03,2.91409255157944E-04,8.49906510283869E-04,4971,5171,518,17158,5883,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Quoted_Strings_with-LF_length_20_0128_x_001_Ascii.csv",3328
20,"""xxxxxxxx
yyyyyyyy""",256,1,1.66877003667536E-03,1.8947357332137E-03,0.016364464379567,3.25754120789628E-04,1.02124183006536E-03,2997,2639,306,15349,4896,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Quoted_Strings_with-LF_length_20_0256_x_001_Ascii.csv",6656
20,"""xxxxxxxx
yyyyyyyy""",512,1,3.10894667496239E-03,3.38506691472249E-03,2.87995080466264E-02,4.5570543200875E-04,9.64692263168049E-04,1609,1478,174,10972,5183,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Quoted_Strings_with-LF_length_20_0512_x_001_Ascii.csv",13312
20,"""xxxxxxxx
yyyyyyyy""",1024,1,7.76427937996422E-03,7.18407844823528E-03,5.66122168518101E-02,6.0790273556231E-04,1.09455021394632E-03,645,696,89,8225,4569,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Quoted_Strings_with-LF_length_20_1024_x_001_Ascii.csv",26624
20,"""xxxxxxxx
yyyyyyyy""",2048,1,1.19238440479551E-02,1.31416102361638E-02,0.108393019149476,7.64525993883792E-04,1.65925677754504E-03,420,381,47,6540,3014,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Quoted_Strings_with-LF_length_20_2048_x_001_Ascii.csv",53248
20,"""xxxxxxxx
yyyyyyyy""",4096,1,2.38212842860126E-02,2.71526205403781E-02,0.228104486363009,1.15443217126947E-03,1.73469383136824E-03,210,185,22,4332,2891,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Quoted_Strings_with-LF_length_20_4096_x_001_Ascii.csv",106496
20,"""xxxxxxxx
yyyyyyyy""",8192,1,5.10134454534361E-02,5.51161597832106E-02,0.410280992294877,2.85551113649343E-03,3.17258883248731E-03,99,92,13,1751,1576,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Quoted_Strings_with-LF_length_20_8192_x_001_Ascii.csv",212992
20,"""xxxxxxxx
yyyyyyyy""",16384,1,0.100355466667964,0.111650631111115,0.840610966668464,4.6800748559222E-03,5.81860459128091E-03,51,45,6,1069,860,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Quoted_Strings_with-LF_length_20_16384_x_001_Ascii.csv",425984
20,"""xxxxxxxx
yyyyyyyy""",32768,1,0.21030905416895,0.23555487272626,1.69207889998021,8.46192881137183E-03,1.14383561426102E-02,24,22,3,591,438,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Quoted_Strings_with-LF_length_20_32768_x_001_Ascii.csv",851968
20,"""xxxxxxxx
yyyyyyyy""",65536,1,0.367659292849047,0.4151626230719,3.50563819997478,1.48809523809524E-02,1.80431655842623E-02,14,13,2,336,278,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Quoted_Strings_with-LF_length_20_65536_x_001_Ascii.csv",1703936
20,"""xxxxxxxx
yyyyyyyy""",131072,1,0.833115799984496,0.814182600006461,6.30730099999346,3.27516334508759E-02,0.046302751663628,7,7,1,153,109,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Quoted_Strings_with-LF_length_20_131072_x_001_Ascii.csv",3407872
20,"""xxxxxxxx
yyyyyyyy""",262144,1,1.45070917502744,1.65820807497948,15.0911803999916,6.13414659732726E-02,7.79076906350943E-02,4,4,1,82,65,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Quoted_Strings_with-LF_length_20_262144_x_001_Ascii.csv",6815744
20,"""xxxxxxxx
yyyyyyyy""",524288,1,3.63969990005717,3.91386490000878,27.9462686998304,0.12019047282991,0.147205878706539,2,2,1,42,34,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Quoted_Strings_with-LF_length_20_524288_x_001_Ascii.csv",13631488
20,"""xxxxxxxx
yyyyyyyy""",1048576,1,6.75335789984092,8.03779609990306,56.3184107998386,0.318000003695488,0.387571437018258,1,1,1,16,14,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Quoted_Strings_with-LF_length_20_1048576_x_001_Ascii.csv",27262976
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,4.03695115886605
,,,,,,8.33931973324932,,,,,,,,,155267.352264079
,,,,,,21.2369742810061,,,,,,,,"Chart_4_Time_v_Rows.jpg",
,,,,,,,,,,,,,,"Parse Time v Num Rows. Log Scales.
10 columns of 17-char numeric fields (no quotes).",
"Field Length","Each Field Contains","Num Rows","Num Cols","CSVRead
v0.14","sdkn104
v1.9","ws_garcia
v3.1.5","CSV.jl
v0.8.5+","CSV.jl
v0.9.0","NCalls
CSVRead
v0.14","NCalls
sdkn104
v1.9","NCalls
ws_garcia
v3.1.5","NCalls
CSV.jl
v0.8.5+","NCalls
CSV.jl
v0.9.0","File","Size"
17,0.719057207097576,1,10,4.26055760059033E-04,2.02561797117028E-04,3.23233852625307E-03,3.15338042381433E-04,5.76302443522361E-04,11736,24684,1547,15856,8676,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Doubles_0001_x_010_Ascii.csv",181
17,0.719057207097576,2,10,2.87100160777865E-04,2.18221092827032E-04,3.18875188011512E-03,3.14090081035241E-04,5.85548659093571E-04,17416,22913,1569,15919,8539,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Doubles_0002_x_010_Ascii.csv",362
17,0.719057207097576,4,10,3.68520607309002E-04,2.60737190379917E-04,3.4859466202596E-03,3.17299149638279E-04,6.47249190938511E-04,13568,19177,1435,15758,7725,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Doubles_0004_x_010_Ascii.csv",724
17,0.719057207097576,8,10,4.7059177412268E-04,3.95494091584465E-04,3.61186007226041E-03,3.34851326011251E-04,8.4530853761623E-04,10625,12643,1385,14932,5915,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Doubles_0008_x_010_Ascii.csv",1448
17,0.719057207097576,16,10,6.5236473580566E-04,5.48028386669974E-04,3.80424882122404E-03,3.33333333333333E-04,8.48752334068919E-04,7665,9124,1315,15000,5891,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Doubles_0016_x_010_Ascii.csv",2896
17,0.719057207097576,32,10,1.02106597915836E-03,1.16063976321394E-03,5.91324042555288E-03,3.59841669665347E-04,8.94934669769107E-04,4897,4308,846,13895,5587,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Doubles_0032_x_010_Ascii.csv",5792
17,0.719057207097576,64,10,2.15120412900002E-03,1.77573767756588E-03,6.17650962969357E-03,4.84496124031008E-04,9.11321116646225E-04,2325,2816,810,10320,5503,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Doubles_0064_x_010_Ascii.csv",11584
17,0.719057207097576,128,10,3.73392835808501E-03,3.26885235301079E-03,8.78655789501704E-03,5.20724848989794E-04,1.02375102375102E-03,1340,1530,570,9602,4884,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Doubles_0128_x_010_Ascii.csv",23168
17,0.719057207097576,256,10,7.24329507954192E-03,7.1841847702149E-03,2.21444455746034E-02,7.90263948158685E-04,1.21212121212121E-03,691,696,226,6327,4125,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Doubles_0256_x_010_Ascii.csv",46336
17,0.719057207097576,512,10,1.52700262189638E-02,1.40779949436906E-02,3.00713988023804E-02,2.00561572402728E-03,6.34644660852887E-03,328,356,167,2493,788,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Doubles_0512_x_010_Ascii.csv",92672
17,0.719057207097576,1024,10,3.65654934303033E-02,2.91388645351236E-02,5.21577260393921E-02,1.70230825013719E-03,2.51635631605435E-03,137,172,96,2946,1987,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Doubles_1024_x_010_Ascii.csv",185344
17,0.719057207097576,2048,10,5.92991411768119E-02,5.57058044450565E-02,9.56546245274608E-02,2.27732247993594E-03,3.06809811504341E-03,85,90,53,2196,1630,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Doubles_2048_x_010_Ascii.csv",370688
17,0.719057207097576,4096,10,0.134179560528872,0.114356549996459,0.180868792863164,3.39443312966735E-03,5.38536062538303E-03,38,44,28,1473,929,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Doubles_4096_x_010_Ascii.csv",741376
